x,y,class
64.8068,38.4243,black
68.8913,36.1477,black
37.2162,69.9398,black
29.0196,42.403,black
56.3907,26.5123,black
54.9761,78.7568,black
43.2152,27.606,black
31.5156,69.4099,black
62.6528,44.0498,black
67.9245,73.1068,black
49.6211,33.5667,black
69.0561,74.032,black
43.2834,59.698,black
36.2278,28.6565,black
36.9173,50.1813,black
61.0656,71.6346,black
64.2493,52.883,black
72.7726,34.9333,black
36.7883,68.697,black
41.3502,61.5865,black
70.3867,40.347,black
29.1609,36.165,black
58.6131,75.6172,black
52.3797,77.3518,black
24.6206,48.0291,black
25.0958,46.2694,black
77.0137,60.9475,black
39.268,37.3182,black
44.9949,32.5283,black
50.7385,78.7855,black
80.0681,49.9716,black
44.5139,33.5793,black
21.2279,42.5071,black
63.3336,46.7871,black
34.6187,52.5558,black
24.6711,46.051,black
59.9081,32.6825,black
71.5154,52.3986,black
57.4315,54.1058,black
48.9048,20.3464,black
57.7063,78.227,black
48.3129,57.3088,black
61.6861,70.6591,black
52.2686,62.882,black
42.299,71.9966,black
20.71,42.6337,black
51.4155,54.4872,black
73.77,68.7055,black
54.663,47.7809,black
38.1045,74.439,black
64.6485,69.5797,black
39.8083,58.4185,black
24.9219,32.6771,black
37.6158,73.4293,black
68.7779,60.9056,black
44.6699,36.8602,black
49.6756,31.6574,black
63.2325,57.7235,black
56.5539,34.3098,black
46.4026,19.7567,black
60.5965,57.0298,black
67.5083,47.3863,black
60.9498,23.7911,black
55.8027,29.962,black
58.4435,59.5673,black
57.6544,76.3716,black
74.595,34.0117,black
42.8746,28.8347,black
50.0601,69.3859,black
67.629,36.4263,black
61.7814,50.4797,black
68.3138,42.8082,black
52.7521,38.0353,black
62.4339,34.7105,black
79.6068,49.8419,black
75.9096,68.0751,black
39.3562,57.9304,black
29.1218,52.678,black
38.4787,64.2092,black
56.4122,72.4554,black
28.2728,57.7699,black
68.7285,52.0371,black
34.1913,28.6215,black
55.2759,28.641,black
65.8823,69.4682,black
56.1594,26.8592,black
72.317,60.8554,black
57.4017,77.4023,black
35.4996,23.0396,black
65.079,65.0451,black
70.494,46.5275,black
53.0493,55.5122,black
31.6894,60.552,black
53.5861,63.1719,black
24.5779,63.3854,black
26.2644,49.9904,black
43.869,33.9635,black
79.3485,50.0979,black
29.3238,62.7469,black
39.5931,53.3023,black
52.8777,52.7614,black
21.4611,37.7202,black
76.6056,63.5685,black
80.2965,50.7002,black
39.764,70.0433,black
42.7748,69.2612,black
54.5363,23.9306,black
28.6824,54.9798,black
42.4157,68.3462,black
37.1651,53.9565,black
31.5138,30.6339,black
60.7745,76.4488,black
21.7221,45.1493,black
47.6506,28.9425,black
21.9491,58.5489,black
54.9991,77.7316,black
34.3712,40.3478,black
34.5687,55.171,black
56.0894,48.147,black
74.0732,68.2478,black
44.385,41.0398,black
58.8181,49.1926,black
34.3052,73.6554,black
62.2803,76.727,black
48.825,44.9958,black
51.9297,68.4933,black
57.5155,31.1658,black
37.4937,27.4488,black
57.3894,44.112,black
52.7042,41.3512,black
65.8226,23.2138,black
79.686,54.2596,black
80.1623,49.0232,black
32.3928,49.8976,black
40.5096,55.026,black
20.2134,60.4937,black
76.3265,42.8071,black
45.2951,54.958,black
26.0456,32.7927,black
24.3067,37.7734,black
27.1624,45.1792,black
46.0213,40.209,black
44.1378,56.2791,black
37.0594,49.0054,black
63.1237,37.3998,black
37.2074,58.6737,black
70.9078,69.0004,black
54.715,29.541,black
67.5131,74.1247,black
77.2531,58.1483,black
47.7598,68.771,black
57.0071,60.3679,black
31.0654,60.6173,black
57.3864,49.3179,black
20.4973,46.976,black
40.3615,42.8923,black
75.7827,41.1995,black
58.5255,77.3916,black
33.8758,50.7195,black
54.0805,49.0702,black
62.094,23.665,black
72.3328,71.7847,black
78.3253,51.9286,black
64.3615,30.6913,black
25.4993,59.966,black
51.7917,73.4081,black
76.204,49.0435,black
29.6966,51.6417,black
56.6824,63.2699,black
46.9633,44.7576,black
44.9088,52.8112,black
73.8092,48.2561,black
53.0694,68.1667,black
35.4351,74.0075,black
56.7972,27.5366,black
76.3028,60.7825,black
46.2668,68.0513,black
19.9097,57.1303,black
70.8782,69.3722,black
19.0528,47.4868,black
66.5108,63.2055,black
36.0425,41.3222,black
66.4112,69.5966,black
34.4911,76.7135,black
69.5511,44.4229,black
35.9068,27.6244,black
43.1997,26.5496,black
77.1118,62.858,black
21.047,46.1278,black
19.0871,47.0041,black
33.119,25.6653,black
65.8774,42.6007,black
53.6152,72.0077,black
61.2446,51.0704,black
44.4744,35.4412,black
71.3415,35.3355,black
64.8752,65.3928,black
44.7509,72.0602,black
50.491,74.0946,black
52.1756,70.4078,black
75.7719,55.7991,black
64.6532,31.0852,black
45.4862,20.9061,black
43.6755,76.979,black
54.8502,72.157,black
71.6317,67.755,black
46.9601,19.9328,black
66.5998,70.7344,black
55.1949,57.3024,black
35.8881,59.7553,black
50.6364,48.2116,black
68.5375,49.8053,black
25.1515,61.7749,black
32.5816,53.3988,black
68.8139,38.0828,black
80.1247,49.2573,black
67.135,45.7256,black
61.2494,64.5547,black
64.8666,43.236,black
39.3813,70.7608,black
64.4795,49.9261,black
31.8465,70.1771,black
45.3392,23.2643,black
34.3625,76.3838,black
61.434,67.7049,black
56.0026,25.728,black
23.1009,51.1605,black
49.4177,52.4818,black
42.4211,42.5266,black
33.3891,43.4669,black
32.4185,71.9661,black
28.1263,51.1417,black
65.9598,25.9224,black
57.7456,32.6454,black
38.6124,50.1799,black
21.3736,60.5746,black
32.3078,59.6555,black
42.575,45.3538,black
39.0996,70.5087,black
75.8369,39.4988,black
79.5558,41.4836,black
56.2278,42.9563,black
26.9365,71.242,black
49.4887,19.5284,black
31.3986,33.3749,black
63.6389,69.5378,black
64.4916,25.8973,black
66.071,25.7793,black
33.7048,46.0356,black
32.6096,27.4462,black
49.4308,27.3842,black
20.154,54.2162,black
27.2505,36.16,black
42.3743,70.9577,black
65.8253,51.0682,black
57.9988,35.4063,black
70.746,71.9639,black
74.8715,60.4492,black
71.86,70.3291,black
57.0739,56.1961,black
35.1711,76.3368,black
22.8026,42.1598,black
52.7071,21.7857,black
35.2864,55.2756,black
63.8538,43.9574,black
40.2146,26.6083,black
73.2898,30.8606,black
58.1075,39.6144,black
40.8775,71.2559,black
71.2838,56.3892,black
27.8268,32.7918,black
70.9927,65.8387,black
55.3356,76.6094,black
19.6304,48.1628,black
61.5038,36.692,black
41.7123,71.8728,black
27.9423,41.5379,black
56.1624,71.448,black
75.7229,51.0171,black
57.6568,76.7594,black
78.0127,54.9971,black
35.647,50.263,black
44.365,52.8684,black
42.2853,74.7363,black
68.0962,29.1392,black
48.149,36.0401,black
54.0611,40.8079,black
39.2316,62.5354,black
48.5415,35.0108,black
50.1939,37.5914,black
59.9852,78.5885,black
73.1162,36.2039,black
43.7785,22.1976,black
32.8517,69.0914,black
71.6873,56.262,black
55.5231,48.969,black
22.4679,59.0488,black
37.5666,58.7432,black
51.9761,30.5804,black
61.1448,76.6378,black
39.7196,66.7542,black
26.1102,59.8055,black
39.4939,73.5623,black
42.7698,29.2632,black
44.3807,33.6628,black
33.5034,33.4383,black
49.4697,43.9164,black
14.7615,53.7285,white
45.772,4.85051,white
39.1004,87.1921,white
19.0791,64.8164,white
72.9515,74.8674,white
96.1668,81.7874,white
79.856,74.2872,white
75.6345,73.0663,white
68.9241,20.6534,white
84.5043,49.1739,white
7.51863,44.4577,white
9.08503,11.8199,white
87.9883,98.5904,white
69.2397,76.7069,white
7.92304,21.0309,white
24.0745,97.9392,white
52.8489,15.8601,white
26.3024,8.72204,white
40.5544,8.29431,white
19.9274,3.02377,white
18.077,86.242,white
84.3445,14.8375,white
84.412,80.9345,white
41.4413,13.4692,white
13.3077,56.0264,white
4.86495,73.6539,white
17.9203,64.3319,white
58.5367,99.1924,white
90.2128,28.985,white
69.0823,77.828,white
67.6554,88.5926,white
1.60974,46.8051,white
2.60597,25.8748,white
13.3505,83.3544,white
81.6262,44.6887,white
84.3753,9.15393,white
43.1875,83.1248,white
2.47432,0.162235,white
34.6374,20.3428,white
83.8097,24.9944,white
71.2163,16.6205,white
25.4798,4.30489,white
93.2816,10.3143,white
92.3138,80.1515,white
85.4847,55.8196,white
84.2389,83.9961,white
89.4255,86.0771,white
72.5722,90.3165,white
90.1955,66.0421,white
87.0063,93.5477,white
51.1522,17.9328,white
69.5291,77.2442,white
10.8184,2.16905,white
70.1784,96.6112,white
95.8009,27.7276,white
73.2302,90.767,white
82.088,50.5424,white
83.9998,23.6352,white
62.1693,97.2153,white
21.8622,98.6931,white
38.1155,95.5959,white
91.707,42.5995,white
93.6529,32.0567,white
0.529104,91.9251,white
34.0014,99.4064,white
22.5409,29.8401,white
82.8468,96.9259,white
47.9931,88.4507,white
18.307,86.8311,white
81.5419,69.814,white
43.5545,5.17328,white
33.4058,12.8316,white
4.57159,69.7435,white
7.87227,62.48,white
26.4824,20.7123,white
97.6709,65.5327,white
11.7488,80.2838,white
16.8784,21.0577,white
65.0347,18.6003,white
92.171,14.078,white
17.9684,93.3596,white
7.28922,77.9683,white
20.2114,4.62267,white
43.2421,88.033,white
87.8494,51.6007,white
87.8587,13.4367,white
70.349,24.7041,white
18.1191,26.328,white
95.3116,95.5242,white
96.2419,33.1046,white
5.02749,78.9204,white
10.2004,11.701,white
89.6087,34.2659,white
44.066,1.64222,white
78.4324,65.8078,white
1.38686,43.9271,white
13.5386,17.4138,white
47.8127,89.779,white
68.652,9.16938,white
31.4448,99.5316,white
11.9248,10.7002,white
77.755,31.2418,white
95.8851,23.9757,white
56.8708,0.0168414,white
83.1349,19.0028,white
19.3137,14.8576,white
