x,y,class
97.769,70.8311,black
54.9261,11.1791,black
90.4831,7.09706,black
73.8696,71.1842,black
99.8864,70.0814,black
73.8311,10.4768,black
68.8772,16.7983,black
79.4533,77.0349,black
58.9802,14.5406,black
96.2144,32.3748,black
67.8376,3.45391,black
65.0864,16.1937,black
95.3756,34.5436,black
97.0594,5.84978,black
16.6095,2.48887,black
68.5448,51.8187,black
77.4876,73.0276,black
76.2505,10.0979,black
40.022,8.50645,black
13.3527,4.96467,black
56.8612,15.2835,black
47.1442,20.4202,black
61.0297,42.6673,black
99.737,19.8325,black
99.1171,94.8475,black
26.6449,10.5045,black
82.3287,13.1462,black
52.6541,18.4873,black
44.9608,28.9479,black
72.3896,13.0906,black
54.3507,7.38436,black
59.3192,57.2779,black
75.3022,8.23653,black
35.2288,7.81963,black
88.2019,14.5536,black
83.5653,31.3948,black
86.9651,28.454,black
37.9893,10.0799,black
86.7202,42.4559,black
43.5788,20.0968,black
74.4658,54.8515,black
91.0322,17.9793,black
40.1499,21.9293,black
80.7051,36.1125,black
70.6352,59.239,black
82.1953,25.5824,black
38.574,12.5341,black
49.4242,1.74774,black
62.6127,45.5388,black
53.7982,37.3284,black
85.0201,81.7718,black
58.8243,22.467,black
73.7596,46.5868,black
26.2876,25.8439,black
88.8855,76.2817,black
29.6376,15.3672,black
88.6065,3.29793,black
59.2255,42.1658,black
90.9141,38.2097,black
69.4781,3.80893,black
76.3261,11.8968,black
82.102,46.1281,black
99.6972,34.0257,black
29.2043,17.1397,black
82.5883,3.04444,black
39.808,9.95711,black
65.439,1.81339,black
73.1679,40.5087,black
80.0483,25.6042,black
26.9077,13.9865,black
75.8539,41.0395,black
31.9816,1.89693,black
42.7905,39.8779,black
79.1991,34.9232,black
39.466,8.16487,black
79.886,47.8102,black
92.7828,46.6374,black
97.1946,12.32,black
88.083,43.5514,black
88.9088,13.5736,black
70.4234,66.5685,black
13.3907,10.737,black
40.3444,37.044,black
88.19,1.34836,black
72.7827,68.4525,black
88.2139,79.2797,black
75.2772,5.7838,black
99.5343,21.4533,black
31.1823,14.8284,black
80.4378,51.7373,black
35.6049,27.0965,black
52.4529,9.45933,black
94.1272,7.74411,black
94.7821,80.9516,black
86.2269,1.27623,black
78.9806,41.2456,black
37.7641,31.5299,black
89.6925,65.581,black
45.9896,41.7385,black
41.9426,20.2668,black
53.4342,17.7157,black
62.817,30.9265,black
89.6002,36.7891,black
