x,y,class
89.0234,30.76,black
99.1644,15.2507,black
20.4984,93.1064,black
51.7074,12.312,black
81.1471,57.1689,black
42.1603,78.0292,black
79.9964,73.3997,black
2.19124,73.5027,black
57.5861,88.8389,black
32.7154,63.4429,black
54.123,74.4213,black
24.7527,85.104,black
48.7263,96.4617,black
18.0977,15.8246,black
3.64061,75.8098,black
57.2489,5.70827,black
22.5949,0.59102,black
61.0194,70.0844,black
42.6894,98.0233,black
81.2359,35.6758,black
4.89138,87.986,black
60.8931,6.65377,black
22.9234,64.4346,black
74.5159,56.6268,black
92.7026,39.903,black
13.4833,12.6508,black
11.7345,41.2085,black
42.7261,13.3603,black
5.92945,63.4367,black
79.1883,9.19935,black
42.0252,18.2866,black
99.3792,26.0618,black
43.4121,81.2396,black
38.1702,76.6289,black
25.4472,68.6171,black
45.3488,84.1542,black
6.95439,89.7094,black
12.3691,54.2865,black
3.99179,57.9367,black
65.3854,17.7141,black
49.9955,0.589505,black
67.0257,56.2974,black
97.3866,10.7845,black
5.65476,62.4147,black
2.50664,53.8561,black
99.6976,88.2468,black
15.9197,41.6577,black
3.13985,89.1436,black
4.72982,32.214,black
26.9372,58.024,black
24.0046,0.841274,black
12.5066,49.76,black
71.0203,72.9111,black
77.815,86.6953,black
25.1323,49.3495,black
23.783,8.27496,black
11.3695,91.3043,black
15.6935,43.0524,black
97.7569,31.0138,black
24.403,86.0081,black
98.5585,1.67335,black
15.0776,34.8972,black
23.4338,68.273,black
62.6081,63.4973,black
19.0746,76.1175,black
59.9421,5.44442,black
7.1981,96.9781,black
32.0867,58.525,black
77.7975,81.8448,black
27.7695,70.6949,black
54.7849,19.1119,black
21.2214,19.015,black
77.0578,82.8211,black
37.6087,13.8484,black
2.45428,77.0593,black
34.9017,89.339,black
80.0431,5.066,black
13.5006,30.937,black
23.0083,70.6954,black
23.9572,78.6901,black
63.954,69.4402,black
61.2832,15.3391,black
77.5882,0.939598,black
86.2406,45.2068,black
74.9224,59.9453,black
98.6485,79.4346,black
42.9993,84.3993,black
33.7468,8.69885,black
68.4039,1.22979,black
24.7668,82.9295,black
28.3305,87.131,black
80.7863,68.5956,black
10.6861,43.4477,black
82.3865,51.7081,black
99.9325,16.8748,black
15.1454,2.25978,black
56.9422,79.7323,black
4.83247,27.2063,black
35.1383,67.3921,black
89.6568,35.7127,black
95.7722,99.8474,black
69.5498,66.6837,black
38.3451,70.3362,black
38.5057,87.1222,black
2.85841,1.77057,black
32.9713,67.8958,black
96.7827,79.7305,black
58.3637,71.9788,black
95.8739,26.5916,black
9.9955,17.673,black
37.2654,86.6356,black
26.6286,57.393,black
10.7605,33.8018,black
6.07317,65.433,black
21.7192,55.147,black
2.28396,93.0577,black
6.94198,76.9925,black
98.0873,74.793,black
31.2588,73.684,black
34.8214,84.948,black
4.7384,20.968,black
84.4601,88.6289,black
90.4667,37.0759,black
33.2591,67.2511,black
8.08413,42.0095,black
83.9111,8.23413,black
21.0344,86.3832,black
82.5373,57.4106,black
5.22303,38.3597,black
4.37188,40.4693,black
27.1794,49.3075,black
97.692,58.9876,black
7.48397,15.5354,black
16.4019,15.5279,black
89.4688,14.1189,black
20.9304,53.5377,black
61.2244,5.29489,black
50.0723,98.9487,black
25.7958,79.4529,black
40.4219,73.3832,black
33.5489,0.112863,black
22.033,70.6556,black
88.1335,95.9265,black
1.64042,80.3109,black
12.1993,36.6744,black
74.222,12.3024,black
72.5303,69.1203,black
54.4921,5.28936,black
84.0528,34.7704,black
30.4223,97.7508,black
36.3112,59.6224,black
79.2091,71.7132,black
7.54052,56.6469,black
86.5832,2.22133,black
98.5583,22.5846,black
89.9196,46.751,black
56.7683,83.7791,black
9.65293,44.4776,black
91.4606,35.1442,black
57.8112,12.5386,black
12.4562,48.2927,black
78.2152,48.8092,black
97.8415,97.2621,black
15.9896,9.97522,black
29.9572,71.4187,black
91.0604,96.7652,black
6.13293,54.6138,black
30.7424,15.1409,black
46.267,84.8399,black
68.1556,61.3655,black
71.5751,58.7406,black
69.0317,19.1752,black
68.6775,79.5585,black
1.45348,47.5768,black
98.921,45.0966,black
64.4833,79.6698,black
57.762,0.97725,black
37.7091,79.6667,black
25.8134,88.7837,black
27.3056,1.32145,black
16.7162,52.4285,black
69.0745,70.0476,black
66.5216,58.0728,black
95.2924,25.8235,black
1.20708,67.1341,black
43.7753,14.5283,black
47.2646,81.588,black
20.857,0.912092,black
30.1334,79.834,black
22.4374,82.9346,black
23.6096,74.4616,black
3.64233,21.1366,black
27.429,15.814,black
72.0735,51.9797,black
92.8105,50.5992,black
85.8362,68.7553,black
21.9473,69.8468,black
18.76,57.2722,black
50.1095,86.0988,black
92.2436,14.1249,black
87.301,76.2508,black
20.5103,0.14191,black
94.6385,75.4785,black
90.1031,1.77971,black
52.5495,83.1829,black
65.4865,92.9305,black
80.965,91.3441,black
79.2619,65.6837,black
5.21259,7.4513,black
26.5389,86.1636,black
58.3701,89.7703,black
94.905,93.6758,black
28.0429,80.8763,black
40.1812,92.0167,black
57.1459,95.2407,black
76.9779,17.6355,black
1.86492,91.3001,black
0.00372805,45.0763,black
41.7577,19.0264,black
23.5418,59.9232,black
56.1772,6.28763,black
1.94187,2.96215,black
8.58767,60.9041,black
23.2491,77.5114,black
98.6153,82.933,black
12.7424,35.5503,black
1.006,60.5644,black
85.0782,36.8729,black
95.4397,37.7322,black
17.4611,44.5344,black
15.5262,16.9876,black
59.648,98.6287,black
39.8502,70.9635,black
28.5247,54.6064,black
11.9034,98.4718,black
60.9755,73.0061,black
80.7214,4.6467,black
65.495,14.4652,black
50.8144,7.77012,black
56.2134,19.9532,black
31.7458,86.5039,black
16.2524,78.314,black
96.7783,0.920414,black
94.8102,23.0013,black
44.0798,91.9572,black
76.8849,45.1136,black
93.7326,29.1591,black
21.4864,47.5669,black
67.1644,96.9214,black
67.8732,89.3827,black
55.1542,2.99488,black
20.964,91.1701,black
